,OPERATIONAL_DAY,TRAIN_NUMBER,OPERATION_TRAIN_NUMBER,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,COMMERCIAL_LINE_NUMBER_DESIGNATION,TRAIN_GROUP_TRAIN_CATEGORY_ABBREVIATION,TRAIN_GROUP_ROUTE,OPERATING_POINT_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,OPERATIONAL_PUNCTUAL,DAILY_PLAN_OPERATIONAL_DELAY_SEC,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_DAY_PERIOD_IDENTIFIER_FINE,OPERATION_TRAIN_RUN_SEQUENCE_NUMBER,PLAN_FORMATION_MAXIMAL_VELOCITY
90,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,BSJS,departure,True,pass,2025-01-01 19:49:24.000 +0100,2025-01-01 19:57:18.000 +0100,0,474.0,NVZ,ABEND,44.0,200
91,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,ZHDB,departure,True,pass,2025-01-01 19:02:18.000 +0100,2025-01-01 19:08:35.000 +0100,0,377.0,NVZ,ABEND,3.0,200
92,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,OLVL,departure,False,pass,,,0,,,,,200
93,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,GMT,arrival,True,pass,2025-01-01 19:13:30.000 +0100,2025-01-01 19:19:25.000 +0100,0,355.0,NVZ,ABEND,13.0,200
94,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,ZAS,departure,True,pass,2025-01-01 19:03:54.000 +0100,2025-01-01 19:10:01.000 +0100,0,367.0,NVZ,ABEND,4.0,200
95,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,ZLST,arrival,True,pass,2025-01-01 19:01:12.000 +0100,2025-01-01 19:06:57.000 +0100,0,345.0,NVZ,ABEND,2.0,200
96,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,AAGB,departure,False,pass,,,0,,,,,200
97,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,BSVB,departure,True,pass,2025-01-01 20:18:12.000 +0100,2025-01-01 20:18:29.000 +0100,1,17.0,NVZ,ABEND,50.0,200
98,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,ZHDB,arrival,True,pass,2025-01-01 19:02:18.000 +0100,2025-01-01 19:08:35.000 +0100,0,377.0,NVZ,ABEND,3.0,200
99,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,DK,departure,False,pass,,,0,,,,,200
