TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
3207,IR66,NE,FV,departure,True,commercialStop,160,NVZ,2025-01-01 04:32:00,2025-01-01 04:32:00,2025-01-01 04:32:00.208284,0.2082843195166788,-8.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,SBL,FV,arrival,True,pass,200,NVZ,2025-01-01 04:32:00,2025-01-01 04:32:00,2025-01-01 04:32:02.609274,2.6092740946314734,-26.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,SBL,FV,departure,True,pass,200,NVZ,2025-01-01 04:32:00,2025-01-01 04:32:00,2025-01-01 04:32:02.609274,2.6092740946314734,-26.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,NE,FV,arrival,True,commercialStop,200,NVZ,2025-01-01 04:35:00,2025-01-01 04:35:00,2025-01-01 04:35:03.491927,3.4919266532997426,-14.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6904,R23,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:36:00,2025-01-01 04:36:00,2025-01-01 04:36:00.000000,0.0,47.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,NE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:36:00,2025-01-01 04:36:00,2025-01-01 04:36:00.000000,0.0,16.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,NE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:38:00,2025-01-01 04:38:00,2025-01-01 04:38:01.241067,1.2410672466430697,-36.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,NE,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:39:00,2025-01-01 04:39:00,2025-01-01 04:39:01.882999,1.8829992934406619,-10.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
18159,RE56,BI,FV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:41:00,2025-01-01 04:39:00,2025-01-01 04:41:00.000000,0.0,-91.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6011,R13,SBL,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:42:00,2025-01-01 04:42:00,2025-01-01 04:41:02.263918,-57.73608151570443,-4.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
