TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
6011,R13,NE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:36:00,2025-01-01 04:36:00,2025-01-01 04:36:00.000000,0.0,16.0,0.575,3.2,7.2,0.0,,,
6904,R23,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:36:00,2025-01-01 04:36:00,2025-01-01 04:36:47.000000,47.0,47.0,0.575,3.2,7.2,0.0,,,total_delay=47s
6011,R13,NE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:38:00,2025-01-01 04:38:00,2025-01-01 04:38:01.282208,1.282208203450864,-36.0,0.575,3.2,7.2,0.0,,,
504,IC5,NE,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:39:00,2025-01-01 04:39:00,2025-01-01 04:39:01.945420,1.945420079107862,-10.0,0.575,3.2,7.2,0.0,,,
18159,RE56,BI,FV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:41:00,2025-01-01 04:39:00,2025-01-01 04:41:00.000000,0.0,-91.0,0.575,3.2,7.2,0.0,,,
6011,R13,SBL,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:42:00,2025-01-01 04:42:00,2025-01-01 04:41:06.566000,-53.43399975636203,-4.0,0.575,3.2,7.2,0.0,,,
6011,R13,SBL,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:42:00,2025-01-01 04:42:00,2025-01-01 04:42:07.823631,7.823631136096083,-18.0,0.575,3.2,7.2,0.0,,,total_delay=8s
6011,R13,CORN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:46:00,2025-01-01 04:45:00,2025-01-01 04:45:56.469605,-3.530394915960642,-20.0,0.575,3.2,7.2,0.0,,,
14110,S21,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:46:00,2025-01-01 04:46:00,2025-01-01 04:46:30.000000,30.0,30.0,0.575,3.2,7.2,0.0,,,total_delay=30s
6011,R13,CORN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:46:00,2025-01-01 04:46:00,2025-01-01 04:46:30.994864,30.99486383778276,-11.0,0.575,3.2,7.2,0.0,,,total_delay=31s
