TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
14106,S21,NE,RV,departure,True,commercialStop,160,NVZ,2025-02-20 03:46:00,2025-02-20 03:46:00,2025-02-20 03:46:00.000000,0.0,0.0,4.5,0.9,2.2,0.0,,,
15717,S5,NE,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:02:00,2025-02-20 04:02:00,2025-02-20 04:02:07.000000,7.0,7.0,4.5,0.9,2.2,0.0,,,total_delay=7s
6902,R23,NE,RV,departure,True,commercialStop,160,NVZ,2025-02-20 04:05:00,2025-02-20 04:05:00,2025-02-20 04:05:00.000000,0.0,-2.0,4.5,0.9,2.2,0.0,,,
7409,R16,NE,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:08:00,2025-02-20 04:08:00,2025-02-20 04:08:09.000000,9.0,9.0,4.5,0.9,2.2,0.0,,,total_delay=9s
7409,R16,SBL,RV,arrival,True,commercialStop,140,NVZ,2025-02-20 04:11:00,2025-02-20 04:12:00,2025-02-20 04:11:08.173284,8.173284251612131,53.0,4.5,0.9,2.2,0.0,,,
7409,R16,SBL,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:12:00,2025-02-20 04:13:00,2025-02-20 04:12:05.390105,5.390105022168427,37.0,4.5,0.9,2.2,0.0,,,total_delay=5s
7409,R16,CORN,RV,arrival,True,commercialStop,140,NVZ,2025-02-20 04:16:00,2025-02-20 04:16:00,2025-02-20 04:16:13.118836,13.118835655570365,40.0,4.5,0.9,2.2,0.0,,,
7409,R16,CORN,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:16:00,2025-02-20 04:17:00,2025-02-20 04:16:45.076656,45.07665591866862,69.0,4.5,0.9,2.2,0.0,,,total_delay=45s
1652,IR57,NE,FV,departure,True,commercialStop,200,NVZ,2025-02-20 04:18:00,2025-02-20 04:18:00,2025-02-20 04:18:00.000000,0.0,0.0,4.5,0.9,2.2,0.0,,,
15318,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-02-20 04:18:00,2025-02-20 04:18:00,2025-02-20 04:18:00.000000,0.0,-7.0,4.5,0.9,2.2,0.0,,,
504,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-02-20 04:18:00,2025-02-20 04:18:00,2025-02-20 04:18:10.000000,10.0,10.0,4.5,0.9,2.2,0.0,,,total_delay=10s
7409,R16,CRNE,RV,arrival,True,commercialStop,140,NVZ,2025-02-20 04:18:00,2025-02-20 04:19:00,2025-02-20 04:18:46.080114,46.080113768777665,72.0,4.5,0.9,2.2,0.0,,,
7409,R16,CRNE,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:19:00,2025-02-20 04:20:00,2025-02-20 04:19:18.519952,18.51995212017937,72.0,4.5,0.9,2.2,0.0,,,total_delay=19s
504,IC5,TUE,FV,arrival,True,pass,200,NVZ,2025-02-20 04:21:00,2025-02-20 04:21:00,2025-02-20 04:21:17.539347,17.53934657528771,6.0,4.5,0.9,2.2,0.0,,,
504,IC5,TUE,FV,departure,True,pass,200,NVZ,2025-02-20 04:21:00,2025-02-20 04:21:00,2025-02-20 04:21:17.539347,17.53934657528771,6.0,4.5,0.9,2.2,0.0,,,total_delay=18s
7409,R16,LD,RV,arrival,True,commercialStop,140,NVZ,2025-02-20 04:21:00,2025-02-20 04:22:00,2025-02-20 04:21:17.670513,17.67051309927956,96.0,4.5,0.9,2.2,0.0,,,
6006,R13,NE,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:22:00,2025-02-20 04:22:00,2025-02-20 04:22:00.000000,0.0,0.0,4.5,0.9,2.2,0.0,,,
7409,R16,LD,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:22:00,2025-02-20 04:23:00,2025-02-20 04:22:00.266050,0.2660495418476785,80.0,4.5,0.9,2.2,0.0,,,
7408,R16,BI,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:21:00,2025-02-20 04:23:00,2025-02-20 04:22:53.000000,113.0,113.0,4.5,0.9,2.2,0.0,,,total_delay=113s
504,IC5,TWN,FV,arrival,True,pass,200,NVZ,2025-02-20 04:23:00,2025-02-20 04:23:00,2025-02-20 04:23:25.353680,25.35368024753734,1.0,4.5,0.9,2.2,0.0,,,
504,IC5,TWN,FV,departure,True,pass,200,NVZ,2025-02-20 04:23:00,2025-02-20 04:23:00,2025-02-20 04:23:25.353680,25.35368024753734,1.0,4.5,0.9,2.2,0.0,,,total_delay=25s
7657,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-02-20 04:21:00,2025-02-20 04:24:00,2025-02-20 04:23:41.000000,161.0,161.0,4.5,0.9,2.2,0.0,,,total_delay=161s
7409,R16,NV,RV,arrival,True,commercialStop,140,NVZ,2025-02-20 04:24:00,2025-02-20 04:25:00,2025-02-20 04:24:06.334790,6.3347897928761085,83.0,4.5,0.9,2.2,0.0,,,
7409,R16,NV,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:24:00,2025-02-20 04:26:00,2025-02-20 04:24:40.320852,40.32085211482263,107.0,4.5,0.9,2.2,0.0,,,total_delay=40s
6903,R23,NE,RV,arrival,True,commercialStop,160,NVZ,2025-02-20 04:25:00,2025-02-20 04:24:00,2025-02-20 04:25:00.000000,0.0,-48.0,4.5,0.9,2.2,0.0,,,
504,IC5,LIG,FV,arrival,True,pass,200,NVZ,2025-02-20 04:25:00,2025-02-20 04:25:00,2025-02-20 04:25:32.231326,32.23132593793525,20.0,4.5,0.9,2.2,0.0,,,
504,IC5,LIG,FV,departure,True,pass,200,NVZ,2025-02-20 04:25:00,2025-02-20 04:25:00,2025-02-20 04:25:32.231326,32.23132593793525,20.0,4.5,0.9,2.2,0.0,,,total_delay=32s
7106,R41,BI,RV,departure,True,commercialStop,140,NVZ,2025-02-20 04:18:00,2025-02-20 04:26:00,2025-02-20 04:26:30.000000,510.0,510.0,4.5,0.9,2.2,0.0,,,total_delay=510s
7408,R16,TUE,RV,arrival,True,commercialStop,140,NVZ,2025-02-20 04:25:00,2025-02-20 04:27:00,2025-02-20 04:27:10.976019,130.97601912315622,116.0,4.5,0.9,2.2,0.0,,,
