TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
504,IC5,SBL,FV,arrival,True,pass,200,NVZ,2025-01-01 04:32:00,2025-01-01 04:32:00,2025-01-01 04:38:40.980858,400.9808580853605,-26.0,-4,0.0,22,8,10,0.0,
504,IC5,SBL,FV,departure,True,pass,200,NVZ,2025-01-01 04:32:00,2025-01-01 04:32:00,2025-01-01 04:38:40.980858,400.9808580853605,-26.0,-4,0.0,22,8,10,0.0,total_delay=401s
18159,RE56,BI,FV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:41:00,2025-01-01 04:39:00,2025-01-01 04:41:00.000000,0.0,-91.0,-4,0.0,22,8,10,0.0,
6011,R13,SBL,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:42:00,2025-01-01 04:42:00,2025-01-01 04:41:34.851060,-25.148940426966874,-4.0,-4,0.0,22,8,10,0.0,
504,IC5,NE,FV,arrival,True,commercialStop,200,NVZ,2025-01-01 04:35:00,2025-01-01 04:35:00,2025-01-01 04:42:09.538344,429.5383443146493,-14.0,-4,0.0,22,8,10,0.0,
6011,R13,SBL,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:42:00,2025-01-01 04:42:00,2025-01-01 04:42:09.658505,9.658504935683595,-18.0,-4,0.0,22,8,10,0.0,total_delay=10s
504,IC5,NE,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:39:00,2025-01-01 04:39:00,2025-01-01 04:42:40.358224,220.35822432268105,-10.0,-4,0.0,22,8,10,0.0,total_delay=220s
14110,S21,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:46:00,2025-01-01 04:46:00,2025-01-01 04:46:00.000000,0.0,30.0,-4,0.0,22,8,10,0.0,
6011,R13,CORN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:46:00,2025-01-01 04:45:00,2025-01-01 04:46:53.887020,53.887020416943415,-20.0,-4,0.0,22,8,10,0.0,
6011,R13,CORN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:46:00,2025-01-01 04:46:00,2025-01-01 04:47:29.982394,89.98239412342082,-11.0,-4,0.0,22,8,10,0.0,total_delay=90s
1607,IC51,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:48:00,2025-01-01 04:48:00,2025-01-01 04:48:00.000000,0.0,20.0,-4,0.0,22,8,10,0.0,
6011,R13,CRNE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:48:00,2025-01-01 04:48:00,2025-01-01 04:49:52.132438,112.13243765756852,-13.0,-4,0.0,22,8,10,0.0,
6010,R13,BI,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:51:00,2025-01-01 04:51:00,2025-01-01 04:51:00.000000,0.0,30.0,-4,0.0,22,8,10,0.0,
3318,IR65,BI,FV,departure,True,commercialStop,160,NVZ,2025-01-01 04:52:00,2025-01-01 04:52:00,2025-01-01 04:52:00.000000,0.0,4.0,-4,0.0,22,8,10,0.0,
6011,R13,CRNE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:49:00,2025-01-01 04:48:00,2025-01-01 04:52:19.023405,199.0234045988327,-24.0,-4,0.0,22,8,10,0.0,"switch_failure(+116s,snow=10cm) | total_delay=199s"
7609,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:53:00,2025-01-01 04:53:00,2025-01-01 04:53:00.000000,0.0,12.0,-4,0.0,22,8,10,0.0,
15320,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:54:00.000000,0.0,12.0,-4,0.0,22,8,10,0.0,
6011,R13,LD,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:51:00,2025-01-01 04:50:00,2025-01-01 04:54:42.175197,222.175197159424,-20.0,-4,0.0,22,8,10,0.0,
6905,R23,NE,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:55:00,2025-01-01 04:55:00,2025-01-01 04:55:00.000000,0.0,0.0,-4,0.0,22,8,10,0.0,
6011,R13,LD,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:52:00,2025-01-01 04:52:00,2025-01-01 04:55:13.425775,193.42577501440974,-10.0,-4,0.0,22,8,10,0.0,total_delay=193s
6010,R13,TUE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:55:00,2025-01-01 04:55:00,2025-01-01 04:55:41.651323,41.65132293710849,30.0,-4,0.0,22,8,10,0.0,
6010,R13,TUE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:55:00,2025-01-01 04:56:00,2025-01-01 04:56:14.022428,74.02242811908945,20.0,-4,0.0,22,8,10,0.0,total_delay=74s
6011,R13,NV,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:57:37.899781,217.89978097556013,-11.0,-4,0.0,22,8,10,0.0,
6011,R13,NV,RV,departure,True,commercialStop,140,NVZ,2025-01-01 04:54:00,2025-01-01 04:54:00,2025-01-01 04:58:10.428244,250.4282444297569,-11.0,-4,0.0,22,8,10,0.0,total_delay=250s
3959,RE6,NE,FV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:59:00,2025-01-01 04:58:00,2025-01-01 04:59:00.000000,0.0,-55.0,-4,0.0,22,8,10,0.0,
6010,R13,TWN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 04:58:00,2025-01-01 04:59:00,2025-01-01 04:59:44.965555,104.96555467912185,26.0,-4,0.0,22,8,10,0.0,
3958,RE6,NE,FV,departure,True,commercialStop,160,NVZ,2025-01-01 05:00:00,2025-01-01 05:00:00,2025-01-01 05:00:00.000000,0.0,0.0,-4,0.0,22,8,10,0.0,
